ProdId,ProdName,ProdImgPath,ProdImgUrl,ProdPrice,ProdCategory1,ProdCategory2,ProdDescription,Hashtag
3466955,원턱 와이드 트윌 코튼 밴딩 팬츠 [블랙] ONE-TUCK WIDE TWILL COTTON BANDING PANTS [BLACK],,https://image.msscdn.net/images/goods_img/20230816/3466955/3466955_16956200366680_500.jpg,3466955,02,,가격대비 만족하는 검정색 팬츠 입니다 편하게 입기 좋아요,#면바지 #면팬츠 #와이드팬츠 #와이드 #와이드핏 #와이드슬랙스 #원턱팬츠 #23F/W컬렉션 #코튼팬츠컬렉션 #젠더리스
1976080,BUCKLE WIDE DENIM PANTS WHITE,,https://image.msscdn.net/images/goods_img/20210531/1976080/1976080_2_500.jpg,1976080,02,,제가 어반드레스 버클 바지에 꽂혀서 4개째 매수했는데 사이즈가 색깔별로 조금씩 차이가 있더라고요..! 검정색은 버클을 다 채워도 허리가 좀 커서 핏이 덜 사는데 이 흰색 친구는 딱 제가 원하는 정도로 허리를 예쁘게 잡아줘서 더 자주 입고 다녀요 ~!!,#와이드팬츠 #청바지 #데님팬츠 #와이드청바지 #여자청바지 #우먼라인 #우먼데님 #데님 #데님와이드핏
3469199,[무료반품] (올시즌) All-Sunday 와이드 데님 팬츠_그레이 (ASI) ALL-SUNDAY WIDE DENIM PANTS_GRAY,,https://image.msscdn.net/images/goods_img/20230816/3469199/3469199_16928612246762_500.jpg,3469199,02,,허리가 좀 크지만 바지가 맛있어서 포기할 수 엄서,#흑청 #청바지 #워싱 #코튼 #루즈핏 #세미와이드 #배기바지 #데님 #블록코어 #젠더리스
1582589,와이드 스웨트 조거 팬츠 블랙 Wide Sweat Jogger Pants Black,,https://image.msscdn.net/images/goods_img/20200903/1582589/1582589_1_500.jpg,1582589,02,,"져지 느낌의 원단이고 편하게 막 입기 좋은듯,
밑단의 시보리가 얇은편입니다,",#스웨트팬츠 #와이드팬츠 #팬츠 #트레이닝팬츠 #조거팬츠 #트랙팬츠 #바지
3048827,워크샵 사이드 스냅 팬츠 오프 화이트 WORKSHOP SIDE SNAP PANTS OFF WHITE,,https://image.msscdn.net/images/goods_img/20230131/3048827/3048827_16765888445285_500.jpg,3048827,02,,"싸콘 갈때 입을려고 산건데 전체적인 핏이나 소재는 다 좋아요!
생각보다 통풍도 잘되는 편이고 화이트라 비침이 없을수는 없는데 스킨색 입으면 티 안나용",#와이드팬츠 #팬츠 #바지 #캐주얼팬츠 #조거팬츠 #밴딩팬츠 #나일론팬츠 #BESTITEM #고프코어
3269847,리플렉트 커브드 팬츠 [미드 블루] Reflect Curved Pants [Mid Blue],,https://image.msscdn.net/images/goods_img/20230430/3269847/3269847_16831216694912_500.jpg,3269847,02,,생각보다 더 크고 길이가 길어요 곱창핏 별로 안좋아하지만 바지 자체는 이뻐요,#팬츠 #데님 #청바지 #바지 #데님팬츠 #와이드팬츠 #와이드 #스테디팬츠
2132190,턱 벌룬핏 와이드 스웻 팬츠 (MELANGE GRAY) TUCK BALLOON FIT WIDE SWEAT PANTS (MELANGE GRAY),,https://image.msscdn.net/images/goods_img/20210915/2132190/2132190_1_500.jpg,2132190,02,,말이 필요한가요? 학생 기본템 그 잡채인 무난맨 스웻팬츠입니다. 편하기도 오지게 편한데 어디에 갖다 붙이든 다 무난히 소화해요. 밑의가 좀 긴 감이 있긴 하지만 예쁩니다,#토피와이드 #스웻팬츠 #트레이닝바지 #밴딩팬츠 #셋업 #스웨트팬츠 #벌룬핏 #무지 #스웻
1736561,Deep One Tuck Sweat Pants [Oatmeal],,https://image.msscdn.net/images/goods_img/20210105/1736561/1736561_1_500.jpg,1736561,02,,세탁하면 약간의 수축이 있습니다. 그거 감안해도 와이드핏으로 좋네요,#스웨트팬츠 #스웻팬츠 #와이드팬츠 #원턱팬츠 #트레이닝팬츠 #팬츠 #바지 #스웨트컬렉션 #캐주얼웨어
2789055,투턱 코듀로이 벌룬 백 밴딩 팬츠 (BROWN) TWO TUCK CORDUROY BALLOON BACK BANDING PANTS (BROWN),,https://image.msscdn.net/images/goods_img/20220914/2789055/2789055_4_500.jpg,2789055,02,,사이즈랑 색감뫃아요 핏도 좋고 질도 되기 좋아요!!,#골덴 #골덴바지 #코듀로이팬츠 #밴딩팬츠 #밴딩바지 #와이드팬츠 #토피바지 #코듀로이
1730625,와이드핏 트레이닝 스웨트 팬츠 - Black,,https://image.msscdn.net/images/goods_img/20201224/1730625/1730625_16877481203603_500.jpg,1730625,02,,"길이가 길지만, 기장을 자르기는 싫어서 허리 조여서 입고 있어요 ?? 볼륨감 있는 신발과 같이 입으면 끌리지 않고 예뻐요.",#트레이닝바지 #트레이닝 #트레이닝팬츠 #스웨트팬츠 #기모팬츠 #기모트레이닝 #와이드 #젠더리스
